date,value
22-12-2015,25176
23-12-2015,25004
24-12-2015,25147
28-12-2015,25077
29-12-2015,25106
30-12-2015,25017
31-12-2015,24952
01-01-2016,24943
04-01-2016,25423
05-01-2016,25430
06-01-2016,25756
07-01-2016,26106
08-01-2016,25989
11-01-2016,25877
12-01-2016,25689
13-01-2016,25750
14-01-2016,25652
15-01-2016,26126
18-01-2016,26070
19-01-2016,26064
20-01-2016,26563
21-01-2016,26190
22-01-2016,26168
25-01-2016,26391
27-01-2016,26736
28-01-2016,26701
29-01-2016,26709
01-02-2016,26973
02-02-2016,27008
03-02-2016,27285
04-02-2016,27656
05-02-2016,27568
08-02-2016,28367
09-02-2016,28325
10-02-2016,28211
11-02-2016,29706
12-02-2016,29287
15-02-2016,28595
16-02-2016,28800
17-02-2016,28781
18-02-2016,29210
19-02-2016,29432
22-02-2016,28916
23-02-2016,29234
24-02-2016,29523
25-02-2016,29735
26-02-2016,29290
29-02-2016,29437
01-03-2016,29097
02-03-2016,29219
03-03-2016,29381
04-03-2016,29519
07-03-2016,29597
08-03-2016,29819
09-03-2016,29597
10-03-2016,29928
11-03-2016,29504
14-03-2016,29204
15-03-2016,29050
16-03-2016,28970
17-03-2016,29357
18-03-2016,29135
21-03-2016,28937
22-03-2016,29047
23-03-2016,28568
24-03-2016,28560
28-03-2016,28400
29-03-2016,28616
30-03-2016,28301
31-03-2016,28441
01-04-2016,28056
04-04-2016,28086
05-04-2016,28562
06-04-2016,28571
07-04-2016,28972
08-04-2016,29047
11-04-2016,29254
12-04-2016,29250
13-04-2016,29128
14-04-2016,28731
15-04-2016,28918
18-04-2016,28935
19-04-2016,29255
20-04-2016,29249
21-04-2016,29287
22-04-2016,28941
25-04-2016,29183
26-04-2016,29158
27-04-2016,29319
28-04-2016,29627
29-04-2016,30138
02-05-2016,30213
03-05-2016,30154
04-05-2016,29934
05-05-2016,29868
06-05-2016,30366
09-05-2016,29805
10-05-2016,29785
11-05-2016,29933
12-05-2016,29904
13-05-2016,30023
16-05-2016,29963
17-05-2016,30045
18-05-2016,30049
19-05-2016,29800
20-05-2016,29693
23-05-2016,29682
24-05-2016,29306
25-05-2016,28945
26-05-2016,28729
27-05-2016,28590
30-05-2016,28590
31-05-2016,28610
01-06-2016,28626
02-06-2016,28554
03-06-2016,29216
06-06-2016,29329
07-06-2016,29239
08-06-2016,29491
09-06-2016,29757
10-06-2016,29851
13-06-2016,30181
14-06-2016,30357
15-06-2016,30262
16-06-2016,30392
17-06-2016,30373
20-06-2016,30478
21-06-2016,30072
22-06-2016,29898
23-06-2016,29686
24-06-2016,31131
27-06-2016,31218
28-06-2016,30999
29-06-2016,30986
30-06-2016,30851
01-07-2016,31077
04-07-2016,31396
05-07-2016,30841
06-07-2016,32018
07-07-2016,31817
08-07-2016,31657
11-07-2016,31524
12-07-2016,31001
13-07-2016,31225
14-07-2016,30895
15-07-2016,30922
18-07-2016,30950
19-07-2016,31021
20-07-2016,30666
21-07-2016,30940
22-07-2016,30794
25-07-2016,30814
26-07-2016,30822
27-07-2016,30878
28-07-2016,30795
29-07-2016,31099
01-08-2016,31011
02-08-2016,31282
03-08-2016,31199
04-08-2016,31317
05-08-2016,30779
08-08-2016,30998
09-08-2016,31133
10-08-2016,31219
11-08-2016,31171
12-08-2016,31080
16-08-2016,31349
17-08-2016,31314
18-08-2016,31411
19-08-2016,31365
22-08-2016,31395
23-08-2016,31373
